1,Women Jumpsuit,Marks & Spencer Women Jumpsuit,2000,10,Women's Fashion,1
2,Women T-Shirt,Levi's Women T-Shirt,1000,6,Women's Fashion,1
3,Saree,Kanchipuram Silks,3000,10,Women's Fashion,1
4,High Rise Jeans,INKAST Women High Rise Full Length Jeans,1500,10,Women's Fashion,1
5,Men's T-shirt,Urbano Fashion Men's Printed Full Sleeve Slim Fit Cotton T-Shirt,2000,10,Men's Fashion,2
6,Polo Shirt,Van Heusen Men's Regular Fit Polo Shirt,2000,10,Men's Fashion,2
7,Relaxed Fit Jeans,Ben Martin Men's Relaxed Fit Jeans,2500,10,Men's Fashion,2
8,Samsung S23,Samsung mobile,5000,10,Electronic Appliances,3
9,OnePlus Nord,One Plus mobile,4000,10,Electronic Appliances,3
10,Apple iPhone 11,Apple iPhone 11,4500,10,Electronic Appliances,3
11,Women's watch,Titan Watches,500,10,Women's Accessories,4
12,Women's sneakers,Skechers brand,700,10,Women's Accessories,4
13,Women's Clutch,GHIME Women Glitter Evening Clutch,600,10,Women's Accessories,4
14,Men's watch,Men's watch,500,10,Men's Accessories,5
15,Causal shoe,Causal shoe,700,10,Men's Accessories,5
16,Women's dress,dress,200.0,3,women's fashion,1
17,men's pant,casual wear,250.0,4,men's fashion,2
